File_name,Original_height,Original_width,Max_height,Max_width,Area
IMG_20220604_110757.jpg,2448,3264,1830,2192,2124516
IMG_20220604_103838.jpg,3264,2448,1079,510,387999
Imgs (40).jpg,4032,3024,0,0,0
Imgs (1).jpg,4032,3024,1981,1872,2097954
Imgs (17).jpg,4032,3024,2199,1477,1290553
IMG_20220604_124653.jpg,2448,3264,0,0,0
IMG_20220604_082935.jpg,2448,3264,1345,1016,526920
IMG_20220604_082817.jpg,2448,3264,1806,428,484259
Imgs (23).jpg,2880,2160,1382,495,395245
IMG_20220604_082908.jpg,2448,3264,0,0,0
Imgs (7).jpg,4032,3024,1625,1468,1350895
Imgs (15).jpg,4032,3024,1651,526,468074
IMG_20220604_125220.jpg,3264,2448,1874,2403,743739
IMG_20220604_103728.jpg,3264,2448,1160,928,600119
Imgs (30).jpg,2880,2160,1184,449,312462
IMG_20220604_082844.jpg,2448,3264,1101,876,463364
IMG_20220604_103748.jpg,3264,2448,1473,326,329531
IMG_20220604_103851.jpg,3264,2448,1086,506,400951
Imgs (41).jpg,4032,3024,1692,794,770856
Imgs (20).jpg,4032,3024,1480,504,432387
