File_name,Original_height,Original_width,Max_height,Max_width,Area
./Golden imgs/img(0)_gold.jpg,2880,2160,1064,463,492632
./Golden imgs/img(1)_gold.jpg,2880,2160,1296,287,371952
./Golden imgs/img(2)_gold.jpg,2880,2160,1224,851,1041624
./Golden imgs/img(3)_gold.jpg,2880,2160,1457,1388,2022316
./Golden imgs/img(4)_gold.jpg,2880,2160,981,911,893691
./Golden imgs/img(5)_gold.jpg,2880,2160,903,793,716079
./Golden imgs/img(6)_gold.jpg,2880,2160,904,769,695176
./Golden imgs/img(7)_gold.jpg,2880,2160,842,1106,931252
./Golden imgs/img(8)_gold.jpg,2880,2160,840,1081,908040
./Golden imgs/img(9)_gold.jpg,2880,2160,994,1016,1009904
./Golden imgs/img(10)_gold.jpg,2880,2160,1002,1013,1015026
./Golden imgs/img(11)_gold.jpg,2880,2160,1114,736,819904
./Golden imgs/img(12)_gold.jpg,2880,2160,1114,372,414408
./Golden imgs/img(13)_gold.jpg,2880,2160,1042,333,346986
./Golden imgs/img(14)_gold.jpg,2880,2160,996,353,351588
./Golden imgs/img(15)_gold.jpg,2880,2160,1014,346,350844
./Golden imgs/img(16)_gold.jpg,2880,2160,1129,981,1107549
./Golden imgs/img(17)_gold.jpg,2880,2160,1573,1093,1719289
./Golden imgs/img(18)_gold.jpg,2880,2160,1186,559,662974
./Golden imgs/img(19)_gold.jpg,2880,2160,1057,498,526386
