File_name,Original_height,Original_width,Max_height,Max_width,Area
IMG_20220604_110757.jpg,2448,3264,1886,2277,2173492
IMG_20220604_103838.jpg,3264,2448,996,510,386769
Imgs (40).jpg,4032,3024,2136,682,904139
Imgs (1).jpg,4032,3024,1963,1906,2135490
Imgs (17).jpg,4032,3024,2131,1493,1269541
IMG_20220604_124653.jpg,2448,3264,412,950,168399
IMG_20220604_082935.jpg,2448,3264,645,1022,454627
IMG_20220604_082817.jpg,2448,3264,1492,440,495725
Imgs (23).jpg,2880,2160,1307,497,373937
IMG_20220604_082908.jpg,2448,3264,334,616,150825
Imgs (7).jpg,4032,3024,1581,1466,1334062
Imgs (15).jpg,4032,3024,1560,524,458779
IMG_20220604_125220.jpg,3264,2448,1765,752,596317
IMG_20220604_103728.jpg,3264,2448,1147,929,602669
Imgs (30).jpg,2880,2160,1187,450,313669
IMG_20220604_082844.jpg,2448,3264,760,879,472714
IMG_20220604_103748.jpg,3264,2448,1465,325,331303
IMG_20220604_103851.jpg,3264,2448,1059,507,402728
Imgs (41).jpg,4032,3024,1663,791,767046
Imgs (20).jpg,4032,3024,1390,503,425857
