epoch,accuracy,loss,lr,precision,recall,sensitivity,specificity,val_accuracy,val_loss,val_precision,val_recall,val_sensitivity,val_specificity
0,0.8425925970077515,0.4425257444381714,1e-04,0.8543689250946045,0.8148148059844971,0.8148147463798523,0.9305555820465088,1.0,0.0044210683554410934,1.0,1.0,0.9999999403953552,1.0
1,0.9814814925193787,0.044467996805906296,1e-04,0.9814814925193787,0.9814814925193787,0.9814814329147339,0.9907407164573669,1.0,0.0001291904627578333,1.0,1.0,0.9999999403953552,1.0
2,1.0,0.001102226902730763,1e-04,1.0,1.0,0.9999999403953552,1.0,1.0,1.2887588127341587e-05,1.0,1.0,0.9999999403953552,1.0
3,0.9907407164573669,0.03492046147584915,1e-04,0.9907407164573669,0.9907407164573669,0.9907406568527222,0.9953703880310059,1.0,1.546051680634264e-05,1.0,1.0,0.9999999403953552,1.0
4,1.0,0.0018017853144556284,1e-04,1.0,1.0,0.9999999403953552,1.0,1.0,7.222541171358898e-06,1.0,1.0,0.9999999403953552,1.0
5,1.0,0.0004041647189296782,1e-04,1.0,1.0,0.9999999403953552,1.0,1.0,3.752870441076084e-07,1.0,1.0,0.9999999403953552,1.0
6,0.9907407164573669,0.015492947772145271,5e-05,0.9907407164573669,0.9907407164573669,0.9907406568527222,0.9953703880310059,1.0,0.00017864906112663448,1.0,1.0,0.9999999403953552,1.0
7,1.0,0.008030199445784092,5e-05,1.0,1.0,0.9999999403953552,1.0,1.0,3.090610789513448e-08,1.0,1.0,0.9999999403953552,1.0
8,1.0,0.0003890556108672172,5e-05,1.0,1.0,0.9999999403953552,1.0,1.0,7.947284075271455e-08,1.0,1.0,0.9999999403953552,1.0
9,0.9907407164573669,0.01448500994592905,2.5e-05,0.9907407164573669,0.9907407164573669,0.9907406568527222,0.9953703880310059,1.0,1.4669534721178934e-05,1.0,1.0,0.9999999403953552,1.0
10,1.0,0.000951574242208153,2.5e-05,1.0,1.0,0.9999999403953552,1.0,1.0,2.4283318111884e-07,1.0,1.0,0.9999999403953552,1.0
11,1.0,0.0009554136777296662,2.5e-05,1.0,1.0,0.9999999403953552,1.0,1.0,7.505762766868429e-08,1.0,1.0,0.9999999403953552,1.0
12,1.0,4.062478546984494e-05,1.25e-05,1.0,1.0,0.9999999403953552,1.0,1.0,7.505762766868429e-08,1.0,1.0,0.9999999403953552,1.0
13,1.0,5.26024196005892e-05,1.25e-05,1.0,1.0,0.9999999403953552,1.0,1.0,7.505762766868429e-08,1.0,1.0,0.9999999403953552,1.0
14,1.0,1.4070853467273992e-05,1.25e-05,1.0,1.0,0.9999999403953552,1.0,1.0,7.505762766868429e-08,1.0,1.0,0.9999999403953552,1.0
15,1.0,0.0058805434964597225,6.25e-06,1.0,1.0,0.9999999403953552,1.0,1.0,4.900795147477766e-07,1.0,1.0,0.9999999403953552,1.0
16,1.0,6.598400796065107e-05,6.25e-06,1.0,1.0,0.9999999403953552,1.0,1.0,5.254003099253168e-07,1.0,1.0,0.9999999403953552,1.0
17,1.0,3.3423464628867805e-05,6.25e-06,1.0,1.0,0.9999999403953552,1.0,1.0,5.165701395526412e-07,1.0,1.0,0.9999999403953552,1.0
18,1.0,1.8100448869518004e-05,3.125e-06,1.0,1.0,0.9999999403953552,1.0,1.0,5.121549975228845e-07,1.0,1.0,0.9999999403953552,1.0
19,1.0,0.0002060206315945834,3.125e-06,1.0,1.0,0.9999999403953552,1.0,1.0,5.43060707514087e-07,1.0,1.0,0.9999999403953552,1.0
20,1.0,5.2972980483900756e-05,3.125e-06,1.0,1.0,0.9999999403953552,1.0,1.0,5.342304802979925e-07,1.0,1.0,0.9999999403953552,1.0
21,1.0,0.0005800170474685729,1.5625e-06,1.0,1.0,0.9999999403953552,1.0,1.0,4.2385292431390553e-07,1.0,1.0,0.9999999403953552,1.0
22,0.9907407164573669,0.010724913328886032,1.5625e-06,0.9907407164573669,0.9907407164573669,0.9907406568527222,0.9953703880310059,1.0,1.898513488640674e-07,1.0,1.0,0.9999999403953552,1.0
23,1.0,1.2113476259401068e-05,1.5625e-06,1.0,1.0,0.9999999403953552,1.0,1.0,1.898513488640674e-07,1.0,1.0,0.9999999403953552,1.0
24,1.0,4.323934263084084e-05,1e-06,1.0,1.0,0.9999999403953552,1.0,1.0,1.898513488640674e-07,1.0,1.0,0.9999999403953552,1.0
25,1.0,0.0001156763028120622,1e-06,1.0,1.0,0.9999999403953552,1.0,1.0,1.8543620683431072e-07,1.0,1.0,0.9999999403953552,1.0
26,1.0,0.0002927066234406084,1e-06,1.0,1.0,0.9999999403953552,1.0,1.0,1.9426649089382408e-07,1.0,1.0,0.9999999403953552,1.0
27,1.0,1.3671547094418202e-05,1e-06,1.0,1.0,0.9999999403953552,1.0,1.0,1.9426649089382408e-07,1.0,1.0,0.9999999403953552,1.0
28,1.0,2.6930329113383777e-05,1e-06,1.0,1.0,0.9999999403953552,1.0,1.0,1.9426649089382408e-07,1.0,1.0,0.9999999403953552,1.0
29,1.0,3.149730036966503e-05,1e-06,1.0,1.0,0.9999999403953552,1.0,1.0,1.898513488640674e-07,1.0,1.0,0.9999999403953552,1.0
