epoch,accuracy,loss,lr,precision,recall,sensitivity,specificity,val_accuracy,val_loss,val_precision,val_recall,val_sensitivity,val_specificity
0,0.8992537260055542,0.30901142954826355,1e-04,0.9026217460632324,0.8992537260055542,0.8992536664009094,0.9514925479888916,1.0,0.0009855589596554637,1.0,1.0,0.9999998807907104,1.0
1,0.9664179086685181,0.14042671024799347,1e-04,0.9664179086685181,0.9664179086685181,0.9664177894592285,0.983208954334259,0.9701492786407471,0.03687378764152527,0.9701492786407471,0.9701492786407471,0.9701491594314575,0.9850746393203735
2,0.9664179086685181,0.12513113021850586,1e-04,0.9664179086685181,0.9664179086685181,0.9664177894592285,0.983208954334259,1.0,3.1615518309990875e-06,1.0,1.0,0.9999998807907104,1.0
3,1.0,0.000516761327162385,1e-04,1.0,1.0,0.9999998807907104,1.0,1.0,6.334021236398257e-07,1.0,1.0,0.9999998807907104,1.0
4,1.0,0.0002105087332893163,1e-04,1.0,1.0,0.9999998807907104,1.0,1.0,4.056629734350281e-07,1.0,1.0,0.9999998807907104,1.0
5,1.0,3.3347147109452635e-05,1e-04,1.0,1.0,0.9999998807907104,1.0,1.0,4.4658497699856525e-07,1.0,1.0,0.9999998807907104,1.0
6,1.0,0.004729675594717264,1e-04,1.0,1.0,0.9999998807907104,1.0,1.0,6.4052684933813e-08,1.0,1.0,0.9999998807907104,1.0
7,1.0,7.838834426365793e-05,5e-05,1.0,1.0,0.9999998807907104,1.0,1.0,4.9818755343267185e-08,1.0,1.0,0.9999998807907104,1.0
8,1.0,0.00015698121569585055,5e-05,1.0,1.0,0.9999998807907104,1.0,1.0,1.1742976369077951e-07,1.0,1.0,0.9999998807907104,1.0
9,1.0,0.00010606766591081396,5e-05,1.0,1.0,0.9999998807907104,1.0,1.0,2.0283241042307054e-07,1.0,1.0,0.9999998807907104,1.0
10,0.996268630027771,0.004597704857587814,2.5e-05,0.996268630027771,0.996268630027771,0.9962685704231262,0.9981343150138855,1.0,1.8628254565555835e-06,1.0,1.0,0.9999998807907104,1.0
11,1.0,0.0014223700854927301,2.5e-05,1.0,1.0,0.9999998807907104,1.0,1.0,8.896212655429281e-09,1.0,1.0,0.9999998807907104,1.0
12,1.0,3.493744998195325e-06,2.5e-05,1.0,1.0,0.9999998807907104,1.0,1.0,8.896212655429281e-09,1.0,1.0,0.9999998807907104,1.0
13,1.0,7.787488357280381e-06,1.25e-05,1.0,1.0,0.9999998807907104,1.0,1.0,7.116971012521844e-09,1.0,1.0,0.9999998807907104,1.0
14,1.0,1.2813662806365755e-06,1.25e-05,1.0,1.0,0.9999998807907104,1.0,1.0,8.896212655429281e-09,1.0,1.0,0.9999998807907104,1.0
15,1.0,1.0318578915757826e-06,1.25e-05,1.0,1.0,0.9999998807907104,1.0,1.0,8.896212655429281e-09,1.0,1.0,0.9999998807907104,1.0
16,1.0,8.090570418062271e-07,6.25e-06,1.0,1.0,0.9999998807907104,1.0,1.0,8.896212655429281e-09,1.0,1.0,0.9999998807907104,1.0
17,1.0,1.0483425967322546e-06,6.25e-06,1.0,1.0,0.9999998807907104,1.0,1.0,7.116971012521844e-09,1.0,1.0,0.9999998807907104,1.0
18,1.0,0.0002302767534274608,6.25e-06,1.0,1.0,0.9999998807907104,1.0,1.0,8.896212655429281e-09,1.0,1.0,0.9999998807907104,1.0
19,1.0,1.6591259566212102e-07,3.125e-06,1.0,1.0,0.9999998807907104,1.0,1.0,8.896212655429281e-09,1.0,1.0,0.9999998807907104,1.0
20,1.0,2.0461136784888367e-07,3.125e-06,1.0,1.0,0.9999998807907104,1.0,1.0,8.896212655429281e-09,1.0,1.0,0.9999998807907104,1.0
21,1.0,2.539854619953985e-07,3.125e-06,1.0,1.0,0.9999998807907104,1.0,1.0,8.896212655429281e-09,1.0,1.0,0.9999998807907104,1.0
22,1.0,3.4319559745199513e-06,1.5625e-06,1.0,1.0,0.9999998807907104,1.0,1.0,8.896212655429281e-09,1.0,1.0,0.9999998807907104,1.0
23,1.0,8.037404199967568e-07,1.5625e-06,1.0,1.0,0.9999998807907104,1.0,1.0,8.896212655429281e-09,1.0,1.0,0.9999998807907104,1.0
24,1.0,2.978140628329129e-06,1.5625e-06,1.0,1.0,0.9999998807907104,1.0,1.0,8.896212655429281e-09,1.0,1.0,0.9999998807907104,1.0
25,1.0,1.0328135431336705e-06,1e-06,1.0,1.0,0.9999998807907104,1.0,1.0,7.116971012521844e-09,1.0,1.0,0.9999998807907104,1.0
26,1.0,5.382107133300451e-07,1e-06,1.0,1.0,0.9999998807907104,1.0,1.0,7.116971012521844e-09,1.0,1.0,0.9999998807907104,1.0
27,1.0,3.929374724975787e-05,1e-06,1.0,1.0,0.9999998807907104,1.0,1.0,8.896212655429281e-09,1.0,1.0,0.9999998807907104,1.0
28,1.0,8.461244578938931e-05,1e-06,1.0,1.0,0.9999998807907104,1.0,1.0,1.423394024868685e-08,1.0,1.0,0.9999998807907104,1.0
29,1.0,2.908701208070852e-05,1e-06,1.0,1.0,0.9999998807907104,1.0,1.0,1.423394024868685e-08,1.0,1.0,0.9999998807907104,1.0
