epoch,accuracy,loss,lr,precision,recall,sensitivity,specificity,val_accuracy,val_loss,val_precision,val_recall,val_sensitivity,val_specificity
0,0.8656716346740723,0.380815327167511,1e-04,0.8712121248245239,0.858208954334259,0.8582088947296143,0.9365671873092651,1.0,0.013518418185412884,1.0,1.0,0.9999998807907104,1.0
1,0.9514925479888916,0.19692334532737732,1e-04,0.9550561904907227,0.9514925479888916,0.9514924883842468,0.9776119589805603,1.0,0.0003735974314622581,1.0,1.0,0.9999998807907104,1.0
2,0.996268630027771,0.010941927321255207,1e-04,0.996268630027771,0.996268630027771,0.9962685704231262,0.9981343150138855,1.0,5.162190427654423e-05,1.0,1.0,0.9999998807907104,1.0
3,1.0,0.0006589718977920711,1e-04,1.0,1.0,0.9999998807907104,1.0,1.0,4.4658713704848196e-07,1.0,1.0,0.9999998807907104,1.0
4,1.0,0.00010149995796382427,1e-04,1.0,1.0,0.9999998807907104,1.0,1.0,5.319885758581222e-07,1.0,1.0,0.9999998807907104,1.0
5,0.996268630027771,0.02629256248474121,1e-04,0.996268630027771,0.996268630027771,0.9962685704231262,0.9981343150138855,1.0,1.7159518392872997e-05,1.0,1.0,0.9999998807907104,1.0
6,0.9738805890083313,0.1316237449645996,1e-04,0.9737827777862549,0.9701492786407471,0.9701491594314575,0.986940324306488,1.0,0.00795674230903387,1.0,1.0,0.9999998807907104,1.0
7,0.9738805890083313,0.06755387037992477,5e-05,0.9775280952453613,0.9738805890083313,0.9738804697990417,0.9888059496879578,1.0,4.981284746463643e-06,1.0,1.0,0.9999998807907104,1.0
8,1.0,0.00048119257553480566,5e-05,1.0,1.0,0.9999998807907104,1.0,1.0,2.490921247044753e-07,1.0,1.0,0.9999998807907104,1.0
9,0.996268630027771,0.007413124665617943,5e-05,0.996268630027771,0.996268630027771,0.9962685704231262,0.9981343150138855,1.0,6.405261387953942e-08,1.0,1.0,0.9999998807907104,1.0
10,1.0,0.0015641655772924423,2.5e-05,1.0,1.0,0.9999998807907104,1.0,1.0,1.779242975175066e-09,1.0,1.0,0.9999998807907104,1.0
11,0.9925373196601868,0.023324718698859215,2.5e-05,0.9925373196601868,0.9925373196601868,0.9925372004508972,0.996268630027771,1.0,0.0,1.0,1.0,0.9999998807907104,1.0
12,1.0,2.582502202130854e-05,2.5e-05,1.0,1.0,0.9999998807907104,1.0,1.0,0.0,1.0,1.0,0.9999998807907104,1.0
13,1.0,4.1481744119664654e-05,1.25e-05,1.0,1.0,0.9999998807907104,1.0,1.0,0.0,1.0,1.0,0.9999998807907104,1.0
14,0.996268630027771,0.005097711458802223,1.25e-05,0.996268630027771,0.996268630027771,0.9962685704231262,0.9981343150138855,1.0,5.5156448297566385e-08,1.0,1.0,0.9999998807907104,1.0
15,0.996268630027771,0.006270433310419321,1.25e-05,0.996268630027771,0.996268630027771,0.9962685704231262,0.9981343150138855,1.0,0.0,1.0,1.0,0.9999998807907104,1.0
16,1.0,6.823449803050607e-05,6.25e-06,1.0,1.0,0.9999998807907104,1.0,1.0,0.0,1.0,1.0,0.9999998807907104,1.0
17,1.0,4.90251841256395e-05,6.25e-06,1.0,1.0,0.9999998807907104,1.0,1.0,0.0,1.0,1.0,0.9999998807907104,1.0
18,1.0,1.921601506182924e-05,6.25e-06,1.0,1.0,0.9999998807907104,1.0,1.0,0.0,1.0,1.0,0.9999998807907104,1.0
19,1.0,1.9963112208642997e-05,3.125e-06,1.0,1.0,0.9999998807907104,1.0,1.0,0.0,1.0,1.0,0.9999998807907104,1.0
20,1.0,1.6289804989355616e-05,3.125e-06,1.0,1.0,0.9999998807907104,1.0,1.0,0.0,1.0,1.0,0.9999998807907104,1.0
21,1.0,2.3141772089729784e-06,3.125e-06,1.0,1.0,0.9999998807907104,1.0,1.0,0.0,1.0,1.0,0.9999998807907104,1.0
22,0.996268630027771,0.014833402819931507,1.5625e-06,0.996268630027771,0.996268630027771,0.9962685704231262,0.9981343150138855,1.0,0.0,1.0,1.0,0.9999998807907104,1.0
23,1.0,5.319023784977617e-06,1.5625e-06,1.0,1.0,0.9999998807907104,1.0,1.0,0.0,1.0,1.0,0.9999998807907104,1.0
24,1.0,5.118417539051734e-05,1.5625e-06,1.0,1.0,0.9999998807907104,1.0,1.0,0.0,1.0,1.0,0.9999998807907104,1.0
25,1.0,9.233903597305471e-07,1e-06,1.0,1.0,0.9999998807907104,1.0,1.0,0.0,1.0,1.0,0.9999998807907104,1.0
26,0.996268630027771,0.013253439217805862,1e-06,0.996268630027771,0.996268630027771,0.9962685704231262,0.9981343150138855,1.0,0.0,1.0,1.0,0.9999998807907104,1.0
27,1.0,5.875313945580274e-05,1e-06,1.0,1.0,0.9999998807907104,1.0,1.0,0.0,1.0,1.0,0.9999998807907104,1.0
28,0.996268630027771,0.008284968324005604,1e-06,0.996268630027771,0.996268630027771,0.9962685704231262,0.9981343150138855,1.0,0.0,1.0,1.0,0.9999998807907104,1.0
29,1.0,7.703175469941925e-06,1e-06,1.0,1.0,0.9999998807907104,1.0,1.0,0.0,1.0,1.0,0.9999998807907104,1.0
